ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
50,50,1,0.0008865309500714224,2006,17,22
100,5,1,0.0011783308665669553,2006,19,21
100,5,1,0.0008362648562442272,2006,21,22
25,50,1,0.0009717222535638098,2007,0,0
50,50,1,0.000839369548622786,2007,0,1
12,5,1,0.000866936526727726,2007,0,6
25,5,1,0.0008124906425626797,2007,0,6
12,5,1,0.0008647477027184759,2007,0,9
50,50,1,0.0008284903077101607,2007,0,10
12,12,1,0.0011075399477432832,2007,0,12
12,5,1,0.000866936526727726,2007,0,14
25,5,1,0.0008124906425626797,2007,0,14
50,50,1,0.000839369548622786,2007,0,19
12,5,1,0.0008647477027184759,2007,0,21
12,12,1,0.0011075399477432832,2007,0,24
100,5,1,0.0010963722420241385,2007,1,9
50,50,1,0.0008396138609066901,2007,1,10
12,12,1,0.0008165722434120269,2007,1,10
100,5,1,0.0010963722420241385,2007,1,21
12,5,1,0.0008467494583630866,2007,3,6
12,12,1,0.0009374747550321713,2007,3,7
12,5,3,0.0008060257365307628,2007,3,7
12,12,1,0.0009152013569905167,2007,3,9
12,5,1,0.0008467494583630866,2007,3,14
12,12,1,0.0009152013569905167,2007,3,21
50,50,1,0.0008091340529821542,2007,4,8
50,50,1,0.0008091340529821542,2007,4,22
12,12,1,0.0009984176667719798,2007,6,7
12,12,1,0.0010002609179608057,2007,6,10
12,5,1,0.0008467494583630866,2007,6,17
12,25,1,0.0008841926665141409,2007,7,9
12,12,1,0.0008149674760998919,2007,7,9
12,5,1,0.000807066125729436,2007,7,9
12,12,1,0.0009928569315124085,2007,7,12
12,12,1,0.0009984176667719798,2007,7,14
12,12,1,0.0009374747550321713,2007,7,17
12,5,3,0.0008060257365307628,2007,7,17
12,25,1,0.0008841926665141409,2007,7,21
12,12,1,0.0008149674760998919,2007,7,21
12,5,1,0.000807066125729436,2007,7,21
12,12,1,0.0009928569315124085,2007,7,24
50,50,1,0.0008091340529821542,2007,8,16
25,5,1,0.0010738422977168089,2007,9,10
12,12,1,0.001043800399012937,2007,9,12
12,12,1,0.0009152013569905167,2007,9,17
100,5,1,0.0010963722420241385,2007,9,19
12,12,1,0.001043800399012937,2007,9,24
12,12,1,0.0009210781660719039,2007,10,10
12,12,1,0.0009737671440161573,2007,10,12
12,5,1,0.000918249398266968,2007,10,12
12,12,1,0.0010002609179608057,2007,10,14
50,50,1,0.0008396138609066901,2007,10,19
12,12,1,0.0008165722434120269,2007,10,19
25,5,1,0.0010738422977168089,2007,10,21
12,12,1,0.0011637532424314675,2007,10,23
12,12,1,0.0009737671440161573,2007,10,24
12,5,1,0.000918249398266968,2007,10,24
12,12,1,0.001043800399012937,2007,12,21
12,5,1,0.0008467494583630866,2007,14,17
50,50,1,0.0008091340529821542,2007,16,22
12,12,1,0.0009152013569905167,2007,17,21
100,5,1,0.0010963722420241385,2007,19,21
12,12,1,0.001043800399012937,2007,21,24
12,12,1,0.0008533065398003762,2008,0,12
