ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
25,50,1,0.001013143082235024,2005,3,17
12,12,1,0.0009453427894806514,2005,3,17
25,25,1,0.0008118309130564738,2005,3,17
12,5,1,0.0010039148423083295,2005,3,18
25,25,1,0.0009657020326669899,2005,3,18
25,5,1,0.0011556113858809337,2005,3,20
25,25,1,0.0010896711289651877,2005,3,22
12,25,1,0.001031648121613942,2005,3,23
25,5,1,0.0010264956171804661,2005,3,23
25,25,3,0.0009490090889099669,2005,3,23
25,25,1,0.000928675749516246,2005,3,23
12,12,1,0.0012629093422369378,2005,3,24
12,12,3,0.0010653643305392163,2005,3,24
12,5,1,0.0011364029283394443,2005,3,25
12,50,1,0.0014646965464504347,2005,4,7
100,12,1,0.0013565777599375294,2005,4,7
100,25,1,0.0013565777599375294,2005,4,7
100,50,1,0.0013565777599375294,2005,4,7
100,5,1,0.0009976370029093063,2005,4,10
100,50,3,0.000991246576588042,2005,4,10
100,25,1,0.0009890701530578094,2005,4,10
100,50,1,0.0009890701530578094,2005,4,10
12,12,1,0.0012643064588532173,2005,4,12
12,12,3,0.0009049853712569592,2005,4,12
12,12,5,0.000871251665990128,2005,4,17
12,12,3,0.000869417967061279,2005,4,17
12,12,1,0.0012643064588532173,2005,4,24
12,12,3,0.0009049853712569592,2005,4,24
12,12,3,0.00139679029992734,2005,5,7
12,12,1,0.0011655857660454064,2005,5,7
100,5,3,0.001118856346750242,2005,5,7
12,50,1,0.0011116051821796662,2005,5,7
25,12,1,0.001178072816695488,2005,5,10
25,12,5,0.0010203309360155165,2005,5,10
25,12,3,0.0010072549575443667,2005,5,10
25,50,1,0.0008510341421354193,2005,5,10
12,25,1,0.0008999218963342494,2005,5,12
12,50,1,0.0008431529267247844,2005,5,12
25,12,1,0.0008418611668885196,2005,5,12
25,25,1,0.0011681593376599198,2005,5,17
25,12,1,0.0008136213213805315,2005,5,17
12,12,1,0.0008091802746743012,2005,5,17
12,25,1,0.0008999218963342494,2005,5,24
12,50,1,0.0008431529267247844,2005,5,24
25,12,1,0.0008418611668885196,2005,5,24
150,25,1,0.0014114958607963327,2005,6,7
150,12,1,0.0013568611882944805,2005,6,7
100,50,1,0.0013565777599375294,2005,6,7
12,25,3,0.0012774664644765196,2005,6,7
150,50,1,0.00092813533718464,2005,6,10
25,5,5,0.0009246581459048497,2005,6,10
25,12,10,0.0008671716738562392,2005,6,10
25,50,1,0.0009578810370023461,2005,6,12
25,5,1,0.0008506774237002385,2005,6,17
25,25,1,0.0008429929949816137,2005,6,17
25,50,1,0.0008276447984067561,2005,6,17
25,50,1,0.0009578810370023461,2005,6,24
25,50,1,0.0014752595039786225,2005,7,7
50,25,1,0.0014710372728280092,2005,7,7
50,50,1,0.0014710372728280092,2005,7,7
12,50,1,0.0014280999221253168,2005,7,7
150,5,1,0.0014355650906293118,2005,7,8
12,50,1,0.0013206739065947976,2005,7,8
100,25,1,0.001243909702647914,2005,7,8
100,50,1,0.001243909702647914,2005,7,8
100,25,1,0.0013565777599375294,2005,7,9
100,50,1,0.0013565777599375294,2005,7,9
150,5,1,0.0013337548950740899,2005,7,9
150,25,1,0.0013242118562591632,2005,7,9
100,12,1,0.0014335659307261504,2005,7,10
100,5,1,0.0013010905907568284,2005,7,10
100,25,1,0.0012578972630533096,2005,7,10
100,50,1,0.0012578972630533096,2005,7,10
100,25,1,0.0013565777599375294,2005,7,11
100,50,1,0.0013565777599375294,2005,7,11
150,5,1,0.0013337548950740899,2005,7,11
150,25,1,0.0013242118562591632,2005,7,11
12,12,1,0.0015045518741147693,2005,7,12
12,12,3,0.0013954263574587455,2005,7,12
50,5,3,0.0011851386283731331,2005,7,12
50,25,3,0.0011299245946010093,2005,7,12
150,5,1,0.0014653267289958978,2005,7,13
12,50,1,0.0014280999221253168,2005,7,13
100,25,1,0.0013565777599375294,2005,7,13
100,50,1,0.0013565777599375294,2005,7,13
150,25,1,0.0014114958607963327,2005,7,14
150,12,1,0.0013568611882944805,2005,7,14
100,50,1,0.0013565777599375294,2005,7,14
12,25,3,0.0012774664644765196,2005,7,14
12,12,3,0.00139679029992734,2005,7,15
12,12,1,0.0011655857660454064,2005,7,15
100,5,3,0.001118856346750242,2005,7,15
12,50,1,0.0011116051821796662,2005,7,15
12,50,1,0.0014646965464504347,2005,7,16
100,12,1,0.0013565777599375294,2005,7,16
100,25,1,0.0013565777599375294,2005,7,16
100,50,1,0.0013565777599375294,2005,7,16
25,50,1,0.0013720749040162872,2005,7,17
25,50,3,0.0012888289352386494,2005,7,17
50,5,5,0.0011884193634339212,2005,7,17
25,50,5,0.0011216447302950716,2005,7,17
100,25,1,0.0013565777599375294,2005,7,18
100,50,1,0.0013565777599375294,2005,7,18
150,5,1,0.0013337548950740899,2005,7,18
150,25,1,0.0013242118562591632,2005,7,18
100,25,1,0.001528422908571551,2005,7,19
12,50,1,0.0014472899698755122,2005,7,19
150,25,1,0.0013543085428808245,2005,7,19
150,50,1,0.0013543085428808245,2005,7,19
25,5,1,0.0015646491756639226,2005,7,20
100,12,1,0.0013565777599375294,2005,7,20
100,25,1,0.0013565777599375294,2005,7,20
100,50,1,0.0013565777599375294,2005,7,20
100,25,1,0.0013565777599375294,2005,7,21
100,50,1,0.0013565777599375294,2005,7,21
150,5,1,0.0013337548950740899,2005,7,21
150,25,1,0.0013242118562591632,2005,7,21
150,5,1,0.0014355650906293118,2005,7,22
12,50,1,0.0013206739065947976,2005,7,22
100,25,1,0.001243909702647914,2005,7,22
100,50,1,0.001243909702647914,2005,7,22
150,5,1,0.0018024483183530621,2005,7,23
12,25,1,0.001565891647351437,2005,7,23
25,5,1,0.0014491654612418642,2005,7,23
25,12,3,0.0014208113627001211,2005,7,23
12,12,1,0.0015045518741147693,2005,7,24
12,12,3,0.0013954263574587455,2005,7,24
50,5,3,0.0011851386283731331,2005,7,24
50,25,3,0.0011299245946010093,2005,7,24
100,25,1,0.0013565777599375294,2005,7,25
100,50,1,0.0013565777599375294,2005,7,25
150,5,1,0.0013337548950740899,2005,7,25
150,25,1,0.0013242118562591632,2005,7,25
