ref_period_width,trade_period_width,number_of_parameters,mean,simulation_period_to,position_id_1,position_id_2
100,12,1,0.0013110455043410915,2005,0,17
100,5,1,0.001305194888885024,2005,0,17
12,12,5,0.0010859295357831499,2005,0,17
12,12,3,0.001075511354706492,2005,0,17
150,12,1,0.001106390810512337,2005,0,18
100,25,1,0.001096822501232473,2005,0,18
100,50,1,0.001096822501232473,2005,0,18
150,5,1,0.0010454692919763902,2005,0,18
100,25,1,0.0013572648238276593,2005,0,19
100,50,1,0.0013572648238276593,2005,0,19
100,12,1,0.0012421774771939624,2005,0,19
100,12,3,0.0011975916468220304,2005,0,19
150,50,1,0.0011299113736673737,2005,0,20
100,25,1,0.001096822501232473,2005,0,20
100,50,1,0.001096822501232473,2005,0,20
100,5,1,0.0010790812952534985,2005,0,20
100,25,1,0.001096822501232473,2005,0,21
100,50,1,0.001096822501232473,2005,0,21
150,12,1,0.0010701218881586621,2005,0,21
100,25,3,0.0010584638098957177,2005,0,21
100,12,3,0.0011762486450151194,2005,0,22
12,25,1,0.000985681242344579,2005,0,22
100,12,5,0.000965057992968142,2005,0,22
12,50,10,0.0009507615565216617,2005,0,22
12,12,1,0.0014522482434720237,2005,0,23
150,25,1,0.001185113337150519,2005,0,23
12,12,3,0.0011202712175109543,2005,0,23
100,25,3,0.0010514227636366088,2005,0,23
12,12,10,0.00104999566785621,2005,0,24
25,50,1,0.0009433588319439139,2005,0,24
25,12,10,0.0008894153484767937,2005,0,24
12,12,5,0.0008628522473573412,2005,0,24
12,50,1,0.0011834337625374807,2005,0,25
150,12,1,0.001106390810512337,2005,0,25
100,25,1,0.001096822501232473,2005,0,25
100,50,1,0.001096822501232473,2005,0,25
100,50,1,0.0013652131903606984,2005,1,3
100,25,1,0.0012889850830717256,2005,1,3
100,12,1,0.0012194205396476238,2005,1,3
25,25,1,0.0008864153704583354,2005,1,3
100,25,1,0.001670825535245773,2005,1,7
100,50,1,0.001670825535245773,2005,1,7
100,12,1,0.0014821530845887424,2005,1,7
12,25,3,0.0012837036789975856,2005,1,7
100,25,3,0.0010910539781707731,2005,1,10
100,12,3,0.001061373013707337,2005,1,10
100,50,3,0.0010560019974456708,2005,1,10
100,25,1,0.0009745867705586742,2005,1,10
12,50,1,0.0008974584420667294,2005,1,12
100,50,1,0.0013652131903606984,2005,1,17
100,25,1,0.0012889850830717256,2005,1,17
100,12,1,0.0012194205396476238,2005,1,17
25,25,1,0.0008864153704583354,2005,1,17
12,50,1,0.0008974584420667294,2005,1,24
12,50,1,0.0008983956947296159,2005,2,2
12,50,1,0.001320767672604316,2005,2,3
25,25,1,0.001152592939581055,2005,2,3
25,12,1,0.0009504681238855308,2005,2,3
12,5,1,0.0008897772902005505,2005,2,3
25,12,1,0.0009474722588082802,2005,2,5
12,50,1,0.0014240512603570666,2005,2,7
12,5,1,0.0013027426025195611,2005,2,7
100,25,1,0.0011706415067070932,2005,2,7
100,50,1,0.0011706415067070932,2005,2,7
12,12,3,0.0009848086386469287,2005,2,10
150,50,3,0.0009579034228667605,2005,2,10
150,25,3,0.0009119222601912499,2005,2,10
150,12,3,0.0008853336654007889,2005,2,10
12,50,1,0.0010885538682959461,2005,2,11
12,50,1,0.001217896555261569,2005,2,12
12,50,1,0.0008983956947296159,2005,2,13
25,12,1,0.0008481162161789394,2005,2,13
25,12,1,0.0009474722588082802,2005,2,15
12,50,1,0.001320767672604316,2005,2,17
25,25,1,0.001152592939581055,2005,2,17
25,12,1,0.0009504681238855308,2005,2,17
12,5,1,0.0008897772902005505,2005,2,17
12,50,1,0.0008983956947296159,2005,2,18
12,50,1,0.0008983956947296159,2005,2,20
12,50,1,0.001217896555261569,2005,2,24
12,50,1,0.0010885538682959461,2005,2,25
25,25,1,0.0011342385620064616,2005,3,3
25,50,1,0.000893636327814239,2005,3,3
100,50,1,0.0008625621293954916,2005,3,3
150,50,1,0.000804874322177288,2005,3,3
